ColorName,ColorRGBCode,material
White,"(249, 255, 255)",wool
Light Gray,"(156, 157, 151)",wool
Gray,"(71, 79, 82)",wool
Black,"(29, 28, 33)",wool
Yellow,"(255, 216, 61)",wool
Orange,"(249, 128, 29)",wool
Red,"(176, 46, 38)",wool
Brown,"(130, 84, 50)",wool
Lime,"(128, 199, 31)",wool
Green,"(93, 124, 21)",wool
Light Blue,"(58, 179, 218)",wool
Cyan,"(22, 156, 157)",wool
Blue,"(60, 68, 169)",wool
Pink,"(243, 140, 170)",wool
Magenta,"(198, 79, 189)",wool
Purple,"(137, 50, 183)",wool
White,"(8, 10, 15)",concrete
Orange,"(224, 97, 1)",concrete
Magenta,"(169, 48, 159)",concrete
Light Blue,"(36, 137, 199)",concrete
Yellow,"(241, 175, 21)",concrete
Lime,"(94, 169, 24)",concrete
Pink,"(213, 101, 143)",concrete
Gray,"(55, 58, 62)",concrete
Light Gray,"(125, 125, 115)",concrete
Cyan,"(21, 119, 136)",concrete
Purple,"(100, 32, 156)",concrete
Blue,"(45, 47, 143)",concrete
Brown,"(96, 60, 32)",concrete
Green,"(73, 91, 36)",concrete
Red,"(142, 33, 33)",concrete
Black,"(8, 10, 15)",concrete